Year,Month,Category,Forecast_Demand
2025,1,Body Cream,5049
2025,2,Body Cream,5089
2025,3,Body Cream,5130
2025,4,Body Cream,5171
2025,5,Body Cream,5212
2025,6,Body Cream,5253
2025,7,Body Cream,5295
2025,8,Body Cream,5338
2025,9,Body Cream,5380
2025,10,Body Cream,5423
2025,11,Body Cream,5466
2025,12,Body Cream,5510
2025,1,Body Lotion,5416
2025,2,Body Lotion,5459
2025,3,Body Lotion,5503
2025,4,Body Lotion,5546
2025,5,Body Lotion,5591
2025,6,Body Lotion,5635
2025,7,Body Lotion,5680
2025,8,Body Lotion,5725
2025,9,Body Lotion,5771
2025,10,Body Lotion,5817
2025,11,Body Lotion,5864
2025,12,Body Lotion,5910
2025,1,Body Soap,5161
2025,2,Body Soap,5202
2025,3,Body Soap,5243
2025,4,Body Soap,5285
2025,5,Body Soap,5327
2025,6,Body Soap,5370
2025,7,Body Soap,5413
2025,8,Body Soap,5456
2025,9,Body Soap,5499
2025,10,Body Soap,5543
2025,11,Body Soap,5587
2025,12,Body Soap,5632
2025,1,Body Splash,5129
2025,2,Body Splash,5169
2025,3,Body Splash,5211
2025,4,Body Splash,5252
2025,5,Body Splash,5294
2025,6,Body Splash,5336
2025,7,Body Splash,5379
2025,8,Body Splash,5422
2025,9,Body Splash,5465
2025,10,Body Splash,5509
2025,11,Body Splash,5553
2025,12,Body Splash,5597
2025,1,Conditioner,5278
2025,2,Conditioner,5320
2025,3,Conditioner,5362
2025,4,Conditioner,5405
2025,5,Conditioner,5448
2025,6,Conditioner,5492
2025,7,Conditioner,5535
2025,8,Conditioner,5579
2025,9,Conditioner,5624
2025,10,Conditioner,5669
2025,11,Conditioner,5714
2025,12,Conditioner,5760
2025,1,Eye Cream,6149
2025,2,Eye Cream,6198
2025,3,Eye Cream,6247
2025,4,Eye Cream,6297
2025,5,Eye Cream,6347
2025,6,Eye Cream,6398
2025,7,Eye Cream,6449
2025,8,Eye Cream,6500
2025,9,Eye Cream,6552
2025,10,Eye Cream,6604
2025,11,Eye Cream,6657
2025,12,Eye Cream,6710
2025,1,Face Cream,5602
2025,2,Face Cream,5647
2025,3,Face Cream,5692
2025,4,Face Cream,5737
2025,5,Face Cream,5783
2025,6,Face Cream,5829
2025,7,Face Cream,5876
2025,8,Face Cream,5923
2025,9,Face Cream,5970
2025,10,Face Cream,6017
2025,11,Face Cream,6065
2025,12,Face Cream,6114
2025,1,Face Serum,5332
2025,2,Face Serum,5375
2025,3,Face Serum,5418
2025,4,Face Serum,5461
2025,5,Face Serum,5504
2025,6,Face Serum,5548
2025,7,Face Serum,5592
2025,8,Face Serum,5637
2025,9,Face Serum,5682
2025,10,Face Serum,5727
2025,11,Face Serum,5773
2025,12,Face Serum,5819
2025,1,Facial Cleanser,5427
2025,2,Facial Cleanser,5470
2025,3,Facial Cleanser,5514
2025,4,Facial Cleanser,5558
2025,5,Facial Cleanser,5602
2025,6,Facial Cleanser,5647
2025,7,Facial Cleanser,5692
2025,8,Facial Cleanser,5737
2025,9,Facial Cleanser,5783
2025,10,Facial Cleanser,5829
2025,11,Facial Cleanser,5876
2025,12,Facial Cleanser,5922
2025,1,Hair Mask,4870
2025,2,Hair Mask,4908
2025,3,Hair Mask,4947
2025,4,Hair Mask,4987
2025,5,Hair Mask,5027
2025,6,Hair Mask,5067
2025,7,Hair Mask,5107
2025,8,Hair Mask,5148
2025,9,Hair Mask,5189
2025,10,Hair Mask,5230
2025,11,Hair Mask,5272
2025,12,Hair Mask,5314
2025,1,Hair Serum,5677
2025,2,Hair Serum,5722
2025,3,Hair Serum,5768
2025,4,Hair Serum,5814
2025,5,Hair Serum,5860
2025,6,Hair Serum,5907
2025,7,Hair Serum,5954
2025,8,Hair Serum,6001
2025,9,Hair Serum,6049
2025,10,Hair Serum,6098
2025,11,Hair Serum,6146
2025,12,Hair Serum,6195
2025,1,Hair Treatment,5030
2025,2,Hair Treatment,5070
2025,3,Hair Treatment,5110
2025,4,Hair Treatment,5151
2025,5,Hair Treatment,5192
2025,6,Hair Treatment,5234
2025,7,Hair Treatment,5275
2025,8,Hair Treatment,5317
2025,9,Hair Treatment,5360
2025,10,Hair Treatment,5402
2025,11,Hair Treatment,5446
2025,12,Hair Treatment,5489
