Category,ABC_Class,Annual_Demand,Unit_Cost,Ordering_Cost,Holding_Cost_Percent,Holding_Cost_Per_Unit,EOQ,Order_Frequency,Order_Cycle_Days,Total_Ordering_Cost,Total_Holding_Cost,Total_Cost,Lead_Time_Days,Initial_Stock
Body Cream,A,129306,210,500,0.02,0.042,55486.16,2.33,156.62,1165.21,1165.21,2330.42,14,7800
Body Lotion,A,139340,200,500,0.02,0.04,59021.18,2.36,154.61,1180.42,1180.42,2360.85,14,7600
Body Soap,B,133790,160,500,0.02,0.032,64660.17,2.07,176.4,1034.56,1034.56,2069.13,14,8200
Body Splash,B,131019,180,500,0.02,0.036000000000000004,60327.58,2.17,168.06,1085.9,1085.9,2171.79,14,7400
Conditioner,A,133520,200,500,0.02,0.04,57775.43,2.31,157.94,1155.51,1155.51,2311.02,14,8340
Eye Cream,A,168133,240,500,0.02,0.048,59184.21,2.84,128.48,1420.42,1420.42,2840.84,14,6000
Face Cream,A,147284,230,500,0.02,0.046,56584.68,2.6,140.23,1301.45,1301.45,2602.9,14,6500
Face Serum,A,137238,300,500,0.02,0.060000000000000005,47825.73,2.87,127.2,1434.77,1434.77,2869.54,14,6200
Facial Cleanser,B,134640,190,500,0.02,0.038,59524.43,2.26,161.37,1130.96,1130.96,2261.93,14,7000
Hair Mask,A,123192,210,500,0.02,0.042,54158.5,2.27,160.46,1137.33,1137.33,2274.66,14,8000
Hair Serum,A,148333,280,500,0.02,0.056,51466.53,2.88,126.64,1441.06,1441.06,2882.13,14,9750
Hair Treatment,A,132057,260,500,0.02,0.052000000000000005,50394.02,2.62,139.29,1310.24,1310.24,2620.49,14,7200
Immunity Boost,C,42641,320,500,0.02,0.064,25812.12,1.65,220.95,825.99,825.99,1651.98,14,5500
Leave in,A,137176,220,500,0.02,0.044000000000000004,55835.8,2.46,148.57,1228.39,1228.39,2456.78,14,7600
Makeup Remover,A,141249,200,500,0.02,0.04,59424.11,2.38,153.56,1188.48,1188.48,2376.96,14,6800
Oil,A,145027,240,500,0.02,0.048,54967.23,2.64,138.34,1319.21,1319.21,2638.43,14,7100
Roll-on,C,141047,150,500,0.02,0.030000000000000002,68567.97,2.06,177.44,1028.52,1028.52,2057.04,14,8000
Shampoo,A,137503,200,500,0.02,0.04,58630.84,2.35,155.63,1172.62,1172.62,2345.23,14,9120
Shower Gel,B,130138,190,500,0.02,0.038,58520.8,2.22,164.13,1111.9,1111.9,2223.79,14,8500
