Category,ABC_Class,Annual_Demand,Unit_Cost,Ordering_Cost,Holding_Cost_Percent,Holding_Cost_Per_Unit,EOQ,Order_Frequency,Order_Cycle_Days,Total_Ordering_Cost,Total_Holding_Cost,Total_Cost,Lead_Time_Days,Initial_Stock,Monthly_Order_Quantity,Current_Ordering_Cost,Current_Holding_Cost,Current_Total_Cost,Cost_Saving,Saving_Percentage
Body Cream,A,129306,210,500,0.02,0.042,55486.16,2.33,156.62,1165.21,1165.21,2330.42,14,7800,10775.5,6000,226.2855,6226.2855,3895.8655,62.5712633961292
Body Lotion,A,139340,200,500,0.02,0.04,59021.18,2.36,154.61,1180.42,1180.42,2360.85,14,7600,11611.666666666666,6000,232.23333333333332,6232.233333333334,3871.3833333333337,62.11871613707232
Body Soap,B,133790,160,500,0.02,0.032,64660.17,2.07,176.4,1034.56,1034.56,2069.13,14,8200,11149.166666666666,6000,178.38666666666666,6178.386666666666,4109.256666666666,66.51018928350227
Body Splash,B,131019,180,500,0.02,0.036000000000000004,60327.58,2.17,168.06,1085.9,1085.9,2171.79,14,7400,10918.25,6000,196.52850000000004,6196.5285,4024.7385000000004,64.9515047013824
Conditioner,A,133520,200,500,0.02,0.04,57775.43,2.31,157.94,1155.51,1155.51,2311.02,14,8340,11126.666666666666,6000,222.53333333333333,6222.533333333334,3911.513333333334,62.86046411965116
Eye Cream,A,168133,240,500,0.02,0.048,59184.21,2.84,128.48,1420.42,1420.42,2840.84,14,6000,14011.083333333334,6000,336.266,6336.266,3495.4259999999995,55.165392361999956
Face Cream,A,147284,230,500,0.02,0.046,56584.68,2.6,140.23,1301.45,1301.45,2602.9,14,6500,12273.666666666666,6000,282.2943333333333,6282.294333333333,3679.394333333333,58.567684640478745
Face Serum,A,137238,300,500,0.02,0.060000000000000005,47825.73,2.87,127.2,1434.77,1434.77,2869.54,14,6200,11436.5,6000,343.095,6343.095,3473.5550000000003,54.761200959468525
Facial Cleanser,B,134640,190,500,0.02,0.038,59524.43,2.26,161.37,1130.96,1130.96,2261.93,14,7000,11220.0,6000,213.18,6213.18,3951.2500000000005,63.594648794981
Hair Mask,A,123192,210,500,0.02,0.042,54158.5,2.27,160.46,1137.33,1137.33,2274.66,14,8000,10266.0,6000,215.586,6215.586,3940.9260000000004,63.40393327354814
Hair Serum,A,148333,280,500,0.02,0.056,51466.53,2.88,126.64,1441.06,1441.06,2882.13,14,9750,12361.083333333334,6000,346.11033333333336,6346.110333333333,3463.980333333333,54.58430678613582
Hair Treatment,A,132057,260,500,0.02,0.052000000000000005,50394.02,2.62,139.29,1310.24,1310.24,2620.49,14,7200,11004.75,6000,286.12350000000004,6286.1235,3665.6335,58.31310027555138
Immunity Boost,C,42641,320,500,0.02,0.064,25812.12,1.65,220.95,825.99,825.99,1651.98,14,5500,3553.4166666666665,6000,113.70933333333333,6113.709333333333,4461.729333333333,72.97908830907237
Leave in,A,137176,220,500,0.02,0.044000000000000004,55835.8,2.46,148.57,1228.39,1228.39,2456.78,14,7600,11431.333333333334,6000,251.48933333333338,6251.489333333333,3794.709333333333,60.70088471717779
Makeup Remover,A,141249,200,500,0.02,0.04,59424.11,2.38,153.56,1188.48,1188.48,2376.96,14,6800,11770.75,6000,235.415,6235.415,3858.455,61.879682426911444
Oil,A,145027,240,500,0.02,0.048,54967.23,2.64,138.34,1319.21,1319.21,2638.43,14,7100,12085.583333333334,6000,290.05400000000003,6290.054,3651.6240000000003,58.053937215801334
Roll-on,C,141047,150,500,0.02,0.030000000000000002,68567.97,2.06,177.44,1028.52,1028.52,2057.04,14,8000,11753.916666666666,6000,176.30875,6176.30875,4119.26875,66.69467017820313
Shampoo,A,137503,200,500,0.02,0.04,58630.84,2.35,155.63,1172.62,1172.62,2345.23,14,9120,11458.583333333334,6000,229.17166666666668,6229.171666666667,3883.941666666667,62.35085296252605
Shower Gel,B,130138,190,500,0.02,0.038,58520.8,2.22,164.13,1111.9,1111.9,2223.79,14,8500,10844.833333333334,6000,206.05183333333335,6206.051833333333,3982.261833333333,64.16739563701678
